"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"236","5/14/2021 4:39","STX",NA,"UGbr","1","3","PremierDraft","Platinum-2","Platinum-2"
"237","5/14/2021 1:50","STX",NA,"WR","0","3","PremierDraft","Platinum-1","Platinum-2"
"238","5/14/2021 0:46","STX",NA,"WB","3","3","PremierDraft","Platinum-1","Platinum-1"
"239","5/13/2021 23:13","STX",NA,"UGr","4","3","PremierDraft","Platinum-1","Platinum-1"
"240","5/13/2021 12:18","STX",NA,"URw","6","3","PremierDraft","Platinum-2","Platinum-1"
"241","5/13/2021 11:40","STX",NA,"WB","2","3","PremierDraft","Platinum-2","Platinum-2"
"242","5/13/2021 10:38","STX",NA,"UGb","1","3","PremierDraft","Platinum-2","Platinum-2"
"243","5/12/2021 13:03","STX",NA,"WBG","1","3","PremierDraft","Platinum-2","Platinum-2"
"244","5/12/2021 11:28","STX","x","UGwr","7","2","PremierDraft","Platinum-3","Platinum-2"
"245","5/12/2021 9:18","STX",NA,"WURg","3","3","PremierDraft","Platinum-3","Platinum-3"
"246","5/11/2021 12:59","STX",NA,"WBr","4","3","PremierDraft","Platinum-3","Platinum-3"
"247","5/10/2021 12:37","STX",NA,"UGbr","5","3","PremierDraft","Platinum-4","Platinum-3"
"248","5/10/2021 11:31","STX",NA,"WRb","2","3","PremierDraft","Platinum-4","Platinum-4"
"249","5/9/2021 14:18","STX",NA,"WBr","0","3","OpenSealed_D1_Bo1",NA,NA
"250","5/9/2021 13:15","STX",NA,"URG","3","3","OpenSealed_D1_Bo1",NA,NA
"251","5/9/2021 12:05","STX",NA,"BGu","3","3","OpenSealed_D1_Bo1",NA,NA
"252","5/9/2021 11:52","STX",NA,"WBRGu","0","0","PremierDraft",NA,NA
"253","5/9/2021 11:00","STX",NA,"WBr","4","3","OpenSealed_D1_Bo1",NA,NA
"254","5/9/2021 1:36","STX",NA,"UBG","5","3","OpenSealed_D1_Bo1",NA,NA
"255","5/9/2021 0:38","STX",NA,"WB","4","3","OpenSealed_D1_Bo1",NA,NA
"256","5/8/2021 13:16","STX",NA,"BG","0","3","PremierDraft","Platinum-3","Platinum-3"
"257","5/8/2021 12:14","STX",NA,"WB","0","3","PremierDraft","Platinum-2","Platinum-3"
"258","5/8/2021 11:16","STX",NA,"WBr","2","3","PremierDraft","Platinum-3","Platinum-2"
"259","5/8/2021 7:55","STX",NA,"WB","4","3","PremierDraft","Platinum-3","Platinum-3"
"260","5/8/2021 6:26","STX","x","WB","7","2","PremierDraft","Platinum-4","Platinum-3"
"261","5/8/2021 5:44","STX",NA,"URG","1","3","PremierDraft","Platinum-4","Platinum-4"
"262","5/8/2021 5:14","STX",NA,"BG","0","3","PremierDraft","Platinum-4","Platinum-4"
"263","5/8/2021 1:41","STX",NA,"UGr","3","3","PremierDraft","Platinum-4","Platinum-4"
"264","5/8/2021 1:04","STX",NA,"URg","0","3","PremierDraft","Platinum-3","Platinum-4"
"265","5/8/2021 0:14","STX",NA,"WBR","1","3","PremierDraft","Platinum-3","Platinum-3"
"266","5/7/2021 12:49","STX",NA,"UR","6","3","PremierDraft","Platinum-3","Platinum-3"
"267","5/7/2021 7:42","STX",NA,"UBRG","1","3","PremierDraft","Platinum-3","Platinum-3"
